Ingredient ID, Ingredient Name, Ingredient Rank
1,ALCOHOL,1
2,PARFUM (FRAGRANCE),2
3,AQUA (WATER),3
4,CITRONELLOL,4
5,LIMONENE,5
6,BUTYL,6
7,METHOXYDIBENZOYLMETHANE,7
8,ETHYLHEXYL METHOXY-CINNAMATE,8
9,ALPHA-ISOMETHYL IONONE,9
10,LINALOOL,10
11,HEXYL CINNAMAL,11
12,BENZYL BENZOATE,12
13,BHT,13
14,HYDROXY-CITRONELLAL,14
15,GERANIOL,15
16,CINNAMYL ALCOHOL,16
17,BENZYL SALICYLATE,17
18,CITRAL,18
19,FARNESOL,19
20,CITRUS AURANTIUM DULCIS OIL,20
21,MENTHA VIRIDIS LEAF OIL,21
22,CITRUS MEDICA LIMONUM PEEL OIL,22
23,CINNAMOMUM CAMPHORA BARK OIL,23
24,ROSMARINUS OFFICINALIS LEAF OIL,24
25,EUGENOL,25
26,AMYL CINNAMAL,26
27,CITRUS SINENSIS PEEL OIL EXPRESSED,27
28,JASMINUM OFFICINALE OIL,28
29,LAVANDULA ANGUSTIFOLIA OIL,29
30,CANANGA ODORATA FLOWER OIL,30
31,TOCOPHEROL,31
32,HELIANTHUS ANNUUS SEED OIL,32
33,LIMONENE,33
34,CINNAMALDEHYDE,34
35,LINALYL ACETATE,35
36,PINUS SYLVESTRIS LEAF OIL,36
37,CINNAMOMUM ZEYLANICUM LEAF OIL,37
38,LAVANDULA HYBRIDA OIL,38
39,BENZYL ALCOHOL,39
40,CITRUS BERGAMIA PEEL OIL EXPRESSED,40
41,LIMONENE,41
42,EUGENIA CARYOPHYLLUS FLOWER OIL,42
43,STYRAX BENZOIN GUM,43
44,AMYLCINNAMYL ALCOHOL,44
45,ANISALDEHYDE,45
46,CAMPHOR,46
47,SANTALUM ALBUM OIL,47
48,POGOSTEMON CABLIN OIL,48
49,CINNAMYL ACETATE,49
50,ORIGANUM MAJORANA LEAF OIL,50
51,CITRUS LIMON PEEL OIL,51
52,CITRUS RETICULATA PEEL OIL,52
53,CITRUS NOBILIS PEEL OIL,53
54,SALVIA SCLAREA OIL,54
55,JUNIPERUS COMMUNIS FRUIT OIL,55
56,CYMBOPOGON MARTINI OIL,56
57,ANTHEMIS NOBILIS FLOWER OIL,57
58,CITRUS PARADISI PEEL OIL,58
59,EUCALYPTUS GLOBULUS LEAF OIL,59
60,CITRUS AURANTIUM BERGAMIA PEEL OIL,60
61,CORIANDRUM SATIVUM SEED OIL,61
62,CITRUS AURANTIUM AMARA FLOWER OIL,62
63,PIPER NIGRUM FRUIT OIL,63
64,ROSA DAMASCENA FLOWER OIL,64
65,PELARGONIUM GRAVEOLENS FLOWER OIL,65
66,ROSMARINUS OFFICINALIS LEAF EXTRACT,66
67,CITRUS AURANTIUM AMARA LEAF/TWIG OIL,67
68,CANARIUM LUZONICUM GUM OIL,68
69,CHAMOMILLA RECUTITA FLOWER OIL,69
70,BOSWELLIA SERRATA OIL,70
71,CITRUS AURANTIUM DULCIS FLOWER OIL,71
72,MYRISTICA FRAGRANS KERNEL OIL,72
73,CITRUS AURANTIUM LEAF OIL,73
74,MELISSA OFFICINALIS LEAF OIL,74
75,ABIES SIBIRICA OIL,75
76,VETIVERIA ZIZANOIDES ROOT OIL,76
77,FOENICULUM VULGARE OIL,77
78,COMMIPHORA MYRRHA OIL,78
79,CITRUS AURANTIUM BERGAMIA LEAF OIL,79
80,CITRUS AURANTIUM DULCIS PEEL OIL EXPRESSED,80
81,THYMUS VULGARIS OIL,81
82,PIMENTA ACRIS LEAF OIL,82
83,CINNAMOMUM CASSIA LEAF OIL,83
84,ARTEMISIA PALLENS FLOWER OIL,84
85,MYRISTICA FRAGRANS ARIL OIL,85
86,LITSEA CUBEBA FRUIT OIL,86
87,CANANGA ODORATA LEAF OIL,87
88,ILLICIUM VERUM FRUIT/SEED OIL,88
89,ELETTARIA CARDAMOMUM SEED OIL,89
90,MENTHA PIPERITA OIL,90
91,SANTALUM SPICATA WOOD OIL,91
92,JUNIPERUS VIRGINIANA OIL,92
93,PATCHOULI,93
94,APIUM GRAVEOLENS SEED EXTRACT,94
95,PICEA EXCELSA LEAF OIL,95
96,PIPER NIGRUM SEED OIL,96
97,CITRUS RETICULATA FRUIT OIL,97
98,CITRUS SINENSIS PEEL OIL,98
99,LAVANDULA INTERMEDIA OIL,99
100,BACKHOUSIA CITRIODORA LEAF OIL,100
